scientific name,common name,feeding guild,size guild,adv group,note
Taurulus bubalis,sea-scorpion,demersal benthivore,medium demersal,demersal,
Thunnus alalunga,albacore,pelagic piscivore,large pelagics,pelagic,**
Trachinus draco,greater weever,demersal benthivore,medium demersal,demersal,
Trachurus picturatus,blue jack mackerel,benthopelagic benthivore,medium benthopelagic,pelagic,**
Trachurus spp,jack and horse mackerel,pelagic piscivore,small pelagic,pelagic,*
Trachurus trachurus,horse mackerel,pelagic piscivore,small pelagic,pelagic,
Trigla lucerna,tub gurnard,demersal piscivore,medium demersal,demersal,
Triglidae,searobins,,,,**
Trigloporus lastoviza,streaked gurnard,demersal benthivore,medium demersal,demersal,
Trisopterus esmarki,norway pout,pelagic planktivore,medium benthopelagic,pelagic,
Trisopterus luscus,bib,demersal piscivore,medium benthopelagic,demersal,
Trisopterus minutus,poor cod,demersal piscivore,medium benthopelagic,demersal,
Xiphias gladius,swordfish,pelagic piscivore,large pelagic,pelagic,**
Zeus faber,john dory,benthopelagic piscivore,large benthopelagic,pelagic,**
Zoarces viviparus,viviparous blenny,demersal benthivore,medium demersal,demersal,
